filename,true_label,x_coordinate,y_coordinate
females\0.wav,0,33.223984,-45.19491
females\1.wav,0,63.209126,43.789356
females\10.wav,0,-42.93088,3.633925
females\100.wav,0,22.382835,-56.424454
females\101.wav,0,51.30363,-41.966087
females\102.wav,0,47.94606,-13.696113
females\103.wav,0,-11.421623,-52.69092
females\104.wav,0,26.968725,62.856018
females\105.wav,0,0.8030654,-21.695543
females\106.wav,0,15.515308,-59.801304
females\107.wav,0,19.711002,-70.01542
females\108.wav,0,-0.97917527,-20.56184
females\109.wav,0,15.286215,-60.12435
females\11.wav,0,-4.348926,-31.875103
females\110.wav,0,48.596676,-62.40737
females\111.wav,0,40.60746,12.523316
females\112.wav,0,14.066638,19.208834
females\113.wav,0,-1.8039323,-62.47527
females\114.wav,0,-2.3184593,-60.776855
females\115.wav,0,16.090734,-46.021587
females\116.wav,0,0.46653354,-28.701208
females\117.wav,0,62.338978,37.95563
females\118.wav,0,35.84483,-11.819273
females\119.wav,0,-10.849581,-19.883673
females\12.wav,0,16.204338,-67.92741
females\120.wav,0,-1.7396348,-23.290297
females\121.wav,0,-3.9621649,-7.3847523
females\122.wav,0,-1.0038923,-61.469334
females\123.wav,0,7.8408966,-73.84902
females\124.wav,0,-21.671623,-57.404568
females\125.wav,0,-5.2882423,-31.526812
females\126.wav,0,1.0862172,22.419104
females\127.wav,0,52.577816,-34.023357
females\128.wav,0,-4.206524,12.208007
females\129.wav,0,-3.0439343,18.784922
females\13.wav,0,50.410126,-60.351376
females\130.wav,0,-2.6742113,-4.349065
females\131.wav,0,24.038074,-41.920902
females\132.wav,0,34.499886,-45.80621
females\133.wav,0,50.158844,-62.411194
females\134.wav,0,-1.8605424,-63.01568
females\135.wav,0,51.217552,-5.2704444
females\136.wav,0,31.756433,-4.659124
females\137.wav,0,-2.3308866,8.212272
females\138.wav,0,41.67448,-64.3363
females\139.wav,0,42.76689,-46.518784
females\14.wav,0,28.203838,-76.97126
females\140.wav,0,63.05346,41.702312
females\141.wav,0,-4.287991,-31.82467
females\142.wav,0,-16.44158,-28.6359
females\143.wav,0,35.142727,-60.89064
females\144.wav,0,-15.327602,-28.073412
females\145.wav,0,23.915634,-54.137394
females\146.wav,0,3.0836358,-78.03072
females\147.wav,0,50.352123,0.10698462
females\148.wav,0,-11.558617,-21.66524
females\149.wav,0,-10.190705,-1.5861527
females\15.wav,0,50.209053,-69.8362
females\150.wav,0,0.8404062,-72.46909
females\151.wav,0,50.010876,-60.562904
females\152.wav,0,12.24133,5.9723363
females\153.wav,0,-4.0319567,5.9100122
females\154.wav,0,32.669914,-29.284647
females\155.wav,0,7.056535,-75.11693
females\156.wav,0,20.930395,-69.377
females\157.wav,0,-15.598559,-28.30364
females\158.wav,0,-15.999764,-63.07257
females\159.wav,0,-0.76520544,-39.15238
females\16.wav,0,51.139194,-41.87616
females\160.wav,0,40.33347,11.937974
females\161.wav,0,-1.1486683,-20.122124
females\162.wav,0,-4.5642767,-74.66298
females\164.wav,0,-17.159283,-43.63892
females\165.wav,0,-10.860845,-51.279503
females\166.wav,0,1.434062,-77.625534
females\167.wav,0,66.43764,20.957857
females\168.wav,0,-16.356249,-43.711998
females\169.wav,0,0.71062493,5.4878488
females\17.wav,0,-1.7002245,-37.660503
females\170.wav,0,-1.9022666,-62.392303
females\171.wav,0,48.146812,-14.942792
females\172.wav,0,24.238749,-42.28677
females\173.wav,0,-18.991749,-49.485943
females\174.wav,0,30.95713,-4.660421
females\175.wav,0,-1.0778356,-59.84499
females\176.wav,0,1.3379656,-45.155407
females\177.wav,0,-12.223613,-52.782272
females\178.wav,0,-33.326706,20.753757
females\179.wav,0,0.8512724,-45.90043
females\18.wav,0,40.330795,-50.782707
females\180.wav,0,1.2378899,13.524437
females\181.wav,0,-5.548661,-21.202475
females\182.wav,0,34.718166,1.0110472
females\183.wav,0,-16.774382,-29.055008
females\184.wav,0,-11.899504,-54.079918
females\185.wav,0,17.075516,-69.82457
females\186.wav,0,13.920183,-83.46344
females\187.wav,0,41.92569,-51.091854
females\188.wav,0,-2.967366,-59.496063
females\189.wav,0,35.729713,-45.77341
females\19.wav,0,-0.46307966,-20.806469
females\190.wav,0,-1.4256355,-37.341026
females\191.wav,0,1.9339409,13.760646
females\192.wav,0,-17.410461,-24.76813
females\193.wav,0,37.47573,-79.31303
females\194.wav,0,-16.263416,76.52341
females\195.wav,0,-1.0391412,-38.98743
females\196.wav,0,31.533852,-8.741025
females\197.wav,0,5.0246058,56.901215
females\198.wav,0,50.064983,-25.248756
females\199.wav,0,50.35493,-28.327127
females\2.wav,0,48.760918,-0.22065504
females\20.wav,0,-1.8051859,-38.058495
females\200.wav,0,37.537422,-10.673052
females\201.wav,0,8.282356,37.839394
females\202.wav,0,15.416726,-56.976124
females\203.wav,0,44.9954,-79.387825
females\204.wav,0,35.8613,-75.040855
females\205.wav,0,-0.69471115,-19.761717
females\206.wav,0,5.6671805,76.338646
females\207.wav,0,33.900997,2.512541
females\208.wav,0,8.631911,26.262753
females\209.wav,0,20.4842,-67.37106
females\21.wav,0,1.4446758,-80.96904
females\210.wav,0,-10.982938,-50.60058
females\211.wav,0,1.3001771,-45.68113
females\212.wav,0,51.11957,-5.483622
females\213.wav,0,13.951015,-63.220272
females\214.wav,0,18.786427,-67.22339
females\215.wav,0,5.686165,-51.604595
females\216.wav,0,-9.342579,-20.922476
females\217.wav,0,-25.11352,44.631657
females\218.wav,0,4.4004354,13.36102
females\219.wav,0,58.636295,-51.597317
females\22.wav,0,1.1448803,22.170326
females\220.wav,0,-15.45945,-65.28663
females\221.wav,0,1.7673529,22.73269
females\222.wav,0,50.403427,-42.261692
females\223.wav,0,2.8998415,38.32834
females\224.wav,0,-10.879882,-50.11646
females\225.wav,0,-2.5603569,-60.758316
females\226.wav,0,-2.6415975,-29.744888
females\227.wav,0,51.814865,-42.600945
females\228.wav,0,-16.278603,-63.100243
females\229.wav,0,2.2400944,81.46063
females\23.wav,0,22.45159,-49.63874
females\230.wav,0,57.453014,-9.718526
females\231.wav,0,-2.1179428,8.763182
females\232.wav,0,-12.111639,-54.20718
females\233.wav,0,-11.452944,-52.713173
females\234.wav,0,33.458534,-63.859623
females\235.wav,0,18.815353,-67.29435
females\236.wav,0,51.16678,-24.477324
females\237.wav,0,49.89376,-62.38852
females\238.wav,0,13.036975,42.668213
females\239.wav,0,48.988815,-24.864
females\24.wav,0,51.342564,-41.198105
females\240.wav,0,42.685844,-51.212116
females\241.wav,0,-4.855724,-21.345417
females\242.wav,0,9.92941,56.308346
females\243.wav,0,33.00502,-49.28773
females\244.wav,0,-6.0850024,-30.094702
females\245.wav,0,-17.988592,-29.619328
females\246.wav,0,12.874509,24.859459
females\247.wav,0,1.7171953,-78.05817
females\248.wav,0,0.6348051,5.428404
females\249.wav,0,32.848473,-45.38695
females\25.wav,0,-11.045658,-49.11312
females\250.wav,0,-0.018406784,-60.93718
females\251.wav,0,14.584831,-83.49472
females\252.wav,0,-1.3458582,-11.868751
females\253.wav,0,19.015705,-71.54674
females\254.wav,0,-1.9703302,6.6376467
females\255.wav,0,11.501429,-2.080421
females\256.wav,0,-2.086637,-62.227993
females\257.wav,0,37.55315,6.2329593
females\258.wav,0,49.21216,-25.085043
females\259.wav,0,20.742537,-68.23177
females\26.wav,0,38.376255,-20.301943
females\260.wav,0,22.43828,54.720623
females\261.wav,0,11.8046465,25.477036
females\262.wav,0,68.99794,-28.91971
females\263.wav,0,63.89983,-2.7679677
females\264.wav,0,-5.9723597,-61.757767
females\265.wav,0,36.397766,-45.884426
females\266.wav,0,27.313066,-78.17615
females\267.wav,0,-10.95045,-20.09183
females\268.wav,0,27.421366,-77.72538
females\269.wav,0,17.909908,-85.5953
females\27.wav,0,-11.17819,-50.917873
females\270.wav,0,59.512623,13.1769085
females\271.wav,0,-0.8434432,-60.053787
females\272.wav,0,14.966522,-0.2747441
females\273.wav,0,47.90909,39.68605
females\274.wav,0,39.286354,-39.330463
females\275.wav,0,12.588202,24.801804
females\276.wav,0,3.3085723,-21.899487
females\277.wav,0,51.613247,-41.8312
females\278.wav,0,-7.839881,-29.03594
females\279.wav,0,61.85174,-45.406174
females\28.wav,0,35.885704,-61.12852
females\280.wav,0,7.4858284,-74.73879
females\281.wav,0,-19.1,-62.03143
females\282.wav,0,5.087141,56.26915
females\283.wav,0,-17.737566,-29.51075
females\284.wav,0,52.433994,-42.398285
females\285.wav,0,-0.9206285,5.2535315
females\286.wav,0,51.017296,24.885582
females\287.wav,0,-6.067297,-52.27308
females\288.wav,0,-6.0911107,-52.390854
females\289.wav,0,5.850114,-36.796932
females\29.wav,0,44.596783,-22.025383
females\290.wav,0,-15.551518,-28.59937
females\291.wav,0,51.87054,-23.656734
females\292.wav,0,66.186104,-2.4442139
females\293.wav,0,29.592945,-30.477337
females\294.wav,0,0.11282862,-80.83147
females\295.wav,0,32.06672,-4.569247
females\296.wav,0,49.324482,-59.348106
females\297.wav,0,58.575947,-51.19721
females\298.wav,0,-2.7255387,9.020656
females\299.wav,0,-2.3797488,-77.53275
females\3.wav,0,32.56739,-45.289185
females\30.wav,0,49.695652,-69.093155
females\300.wav,0,-5.614283,-31.360554
